Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74
19.0,4.0,0.0,3.0,0.0,1.0,14.0,16.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,17.0,8.0,0.0,3.0,4.0,1.0,0.0,2.0,7.0,4.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,3.0,31.0,0.0,28.0,17.0,2.0,1.0,20.0,27.0,19.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
566.0,30.0,40.0,5.0,0.0,63.0,1714.0,351.0,3.0,0.0,27.0,1.0,4.0,174.0,206.0,1059.0,98.0,1.0,73.0,248.0,11.0,1.0,14.0,204.0,160.0,1.0,293.0,2.0,73.0,33.0,0.0,34.0,148.0,1251.0,34.0,1040.0,1714.0,0.0,27.0,1411.0,672.0,834.0,73.0,67.0,154.0,256.0,80.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,145.0,8.0,15.0,0.0,0.0,378.0,31.0,71.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243.0,96.0,4.0,25.0,0.0,1.0,1037.0,533.0,7.0,2.0,79.0,33.0,6.0,230.0,324.0,1155.0,81.0,0.0,47.0,267.0,30.0,2.0,79.0,233.0,174.0,15.0,135.0,24.0,36.0,78.0,107.0,120.0,140.0,2623.0,73.0,1376.0,1037.0,28.0,79.0,1515.0,793.0,776.0,36.0,313.0,278.0,7.0,2.0,0.0,0.0,0.0,6.0,20.0,1.0,3.0,35.0,22.0,15.0,16.0,1.0,429.0,81.0,49.0,7.0,23.0,3.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,9.0,0.0,11.0,0.0,0.0,5.0,14.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,13.0,29.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,0.0,40.0,6.0,5.0,2.0,15.0,57.0,17.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,19.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
135.0,552.0,0.0,441.0,14.0,2.0,1.0,74.0,0.0,36.0,66.0,4.0,0.0,68.0,378.0,171.0,14.0,0.0,18.0,17.0,323.0,1.0,1.0,138.0,32.0,9.0,203.0,9.0,9.0,0.0,0.0,2.0,9.0,87.0,27.0,1233.0,2814.0,99.0,66.0,592.0,512.0,260.0,9.0,2.0,138.0,0.0,0.0,1153.0,58.0,1.0,63.0,0.0,0.0,64.0,42.0,0.0,0.0,0.0,67.0,8.0,5.0,16.0,88.0,1.0,0.0,0.0,0.0,0.0,90.0,1600.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,1.0,0.0,0.0,11.0,14.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533.0,288.0,0.0,415.0,0.0,24.0,690.0,284.0,1.0,12.0,92.0,1.0,0.0,40.0,56.0,202.0,254.0,0.0,27.0,31.0,42.0,0.0,20.0,79.0,211.0,18.0,366.0,18.0,39.0,1.0,0.0,30.0,55.0,491.0,8.0,1270.0,898.0,49.0,92.0,336.0,741.0,708.0,39.0,31.0,23.0,0.0,9.0,167.0,4.0,37.0,32.0,5.0,0.0,6.0,79.0,22.0,8.0,257.0,0.0,95.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358.0,7.0,12.0,296.0,0.0,2.0,291.0,57.0,4.0,5.0,6.0,0.0,1.0,25.0,74.0,650.0,37.0,0.0,22.0,88.0,1.0,0.0,32.0,209.0,35.0,2.0,50.0,0.0,9.0,3.0,3.0,3.0,17.0,666.0,4.0,680.0,291.0,28.0,6.0,766.0,409.0,123.0,9.0,9.0,16.0,5.0,0.0,0.0,0.0,0.0,18.0,4.0,6.0,2.0,43.0,8.0,2.0,11.0,28.0,36.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,14.0,4.0,78.0,1.0,10.0,26.0,51.0,0.0,4.0,1.0,0.0,0.0,23.0,6.0,67.0,25.0,0.0,2.0,11.0,0.0,0.0,2.0,82.0,16.0,8.0,11.0,23.0,8.0,1.0,0.0,2.0,4.0,238.0,1.0,228.0,114.0,11.0,1.0,78.0,134.0,58.0,8.0,4.0,8.0,3.0,0.0,0.0,1.0,88.0,7.0,0.0,2.0,1.0,6.0,6.0,0.0,6.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
10620.0,6437.0,0.0,5612.0,0.0,180.0,3587.0,7937.0,18.0,27.0,128.0,2590.0,106.0,3579.0,3689.0,5350.0,3324.0,0.0,5808.0,992.0,1958.0,1.0,951.0,4668.0,7863.0,125.0,9016.0,23.0,465.0,97.0,0.0,595.0,1799.0,29910.0,989.0,23289.0,11173.0,3296.0,128.0,10325.0,18671.0,19552.0,465.0,693.0,2178.0,4.0,437.0,7275.0,195.0,0.0,3220.0,50.0,725.0,6.0,1285.0,902.0,70.0,0.0,0.0,2525.0,674.0,219.0,125.0,125.0,8.0,38.0,1.0,0.0,0.0,117.0,3300.0,3300.0,0.0,0.0
