Column1,Column2,Column3,Column4
2.3810906810625e11,6.1908357707625e11,2.1906034265775e11,1.90487254485e12
7.545843003374999e9,1.9619191808775e10,6.942175563105e9,6.036674402699999e10
5.461940838375e10,1.4201046179775e11,5.024985571305001e10,4.3695526707e11
2.203351599625e10,5.728714159025e10,2.0270834716550003e10,1.7626812797e11
1.990971055665e12,5.176524744729e12,1.8316933712118003e12,1.592776844532e13
6.388640376799999e10,1.661046497968e11,5.877549146656e10,5.1109123014399994e11
4.814613263549999e10,1.2517994485229999e11,4.429444202466e10,3.8516906108399994e11
1.083376328625e10,2.816778454425e10,9.96706222335e9,8.667010629e10
5.593307190120001e11,1.4542598694312e12,5.1458426149104004e11,4.474645752096001e12
3.80878620632125e11,9.90284413643525e11,3.50408330981555e11,3.047028965057e12
8.586657305420001e11,2.2325308994092e12,7.8997247209864e11,6.869325844336001e12
3.6551149786e10,9.50329894436e10,3.3627057803119995e10,2.92409198288e11
4.3978311373149994e11,1.1434360957019e12,4.0460046463298e11,3.5182649098520005e12
3.02359244215e11,7.86134034959e11,2.781705046778e11,2.41887395372e12
4.3250067275e9,1.12450174915e10,3.979006189299999e9,3.460005382e10
7.6172622312625e10,1.9804881801282498e11,7.007881252761499e10,6.09380978501e11
9.331176336375e10,2.4261058474574997e11,8.584682229465e10,7.4649410691e11
2.6485059292200003e11,6.886115415972e11,2.4366254548824002e11,2.1188047433760002e12
2.77539216005975e12,7.21601961615535e12,2.55336078725497e12,2.2203137280478e13
3.68993911395e10,9.59384169627e10,3.3947439848339996e10,2.95195129116e11
9.0443941637625e10,2.3515424825782498e11,8.320842630661499e10,7.23551533101e11
5.505714506362499e10,1.4314857716542502e11,5.0652573458534996e10,4.4045716050899994e11
3.2061357806257505e12,8.33595302962695e12,2.9496449181756904e12,2.5649086245006004e13
5.925295304224999e10,1.5405767790985e11,5.451271679887e10,4.7402362433799994e11
1.0980933864975002e11,2.8550428048935004e11,1.0102459155777e11,8.784747091980001e11
4.8304550030399994e11,1.2559183007904e12,4.4440186027967993e11,3.8643640024319995e12
1.5559280064765e12,4.0454128168389004e12,1.43145376595838e12,1.2447424051812e13
6.82235092308e11,1.7738112400008e12,6.2765628492336e11,5.457880738464e12
1.84078613548125e11,4.78604395225125e11,1.69352324464275e11,1.472628908385e12
3.5260503776275e11,9.1677309818315e11,3.2439663474173e11,2.820840302102e12
2.49880001974275e12,6.496880051331149e12,2.29889601816333e12,1.9990400157942e13
1.69504656024375e11,4.4071210566337494e11,1.55944283542425e11,1.356037248195e12
8.7960753225e8,2.28697958385e9,8.092389296700001e8,7.036860258e9
2.83619941275e9,7.37411847315e9,2.60930345973e9,2.2689595302e10
1.7751282614999998e9,4.6153334799e9,1.63311800058e9,1.4201026091999998e10
3.141047932875e9,8.166724625475e9,2.889764098245e9,2.5128383463e10
2.9585684823749995e9,7.692278054175e9,2.721883003785e9,2.3668547859000004e10
5.1028039937925e11,1.32672903838605e12,4.6945796742891003e11,4.082243195034e12
2.2060067389262503e11,5.73561752120825e11,2.02952619981215e11,1.7648053911410002e12
1.244889153475e11,3.236711799035e11,1.1452980211970001e11,9.9591132278e11
1.0559186679875002e11,2.7453885367674997e11,9.714451745484999e10,8.447349343900001e11
9.7271591688375e10,2.5290613838977496e11,8.948986435330501e10,7.78172733507e11
3.6752314864e10,9.555601864640001e10,3.3812129674880005e10,2.94018518912e11
9.16244219275e9,2.3822349701149998e10,8.42944681733e9,7.3299537542e10
8.87280770893125e11,2.306930004322125e12,8.16298309221675e11,7.098246167145e12
8.118597984825e11,2.1108354760545e12,7.469110146039e11,6.49487838786e12
3.51829329150375e11,9.147562557909751e11,3.23682982818345e11,2.8146346332029995e12
5.850903596911251e11,1.521234935196925e12,5.3828313091583496e11,4.680722877529001e12
9.4023232405e9,2.44460404253e10,8.65013738126e9,7.5218585924e10
1.71051575354125e11,4.44734095920725e11,1.5736744932579498e11,1.368412602833e12
1.43350631120625e11,3.72711640913625e11,1.3188258063097499e11,1.146805048965e12
4.060838592525e11,1.0558180340565e12,3.735971505122999e11,3.24867087402e12
1.2833580313650002e11,3.336730881549e11,1.1806893888558e11,1.0266864250919999e12
7.4271226015e11,1.93105187639e12,6.83295279338e11,5.9416980812e12
1.1607910524528748e12,3.018056736377475e12,1.0679277682566451e12,9.286328419622998e12
1.0582863050925e11,2.7515443932405e11,9.736234006851e10,8.466290440740001e11
2.2904485109999996e10,5.9551661286e10,2.1072126301199997e10,1.8323588087999997e11
1.8184614046000003e11,4.7279996519599994e11,1.6729844922319998e11,1.4547691236800002e12
1.30209488159625e12,3.38544669215025e12,1.19792729106855e12,1.041675905277e13
8.376064019e10,2.17777664494e11,7.70597889748e10,6.7008512152e11
5.182997883e11,1.34757944958e12,4.7683580523600006e11,4.1463983064e12
7.91895131011e11,2.0589273406286e12,7.2854352053012e11,6.335161048088e12
1.6804310575074997e11,4.3691207495195e11,1.5459965729069e11,1.3443448460059998e12
1.1143875726509998e12,2.8974076888926e12,1.02523656683892e12,8.915100581207998e12
5.62271316628125e12,1.461905423233125e13,5.17289611297875e12,4.498170533025e13
5.643031238487501e10,1.46718812200675e11,5.1915887394085e10,4.5144249907900006e11
4.8208598042912506e11,1.253423549115725e12,4.4351910199479504e11,3.8566878434330005e12
4.0347273375e9,1.04902910775e10,3.7119491504999995e9,3.22778187e10
4.9415029848299994e11,1.2847907760558e12,4.5461827460436e11,3.9532023878639995e12
1.53222796388075e12,3.9837927060899497e12,1.4096497267702898e12,1.2257823711046e13
3.9055241980399994e11,1.0154362914904e12,3.5930822621968e11,3.1244193584319995e12
2.2954006587199997e11,5.968041712672e11,2.1117686060223996e11,1.8363205269759998e12
2.0691680375375e11,5.3798368975975006e11,1.9036345945344998e11,1.65533443003e12
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
